Name,email,phone_no,address,gender,age,no-of-orders,spent_in_week,job,website,annual_income,KMean_clusters
Joseph Rice,josephrice131@slingacademy.com,8568697744,"91773 Miller Shoal
Diaztown, FL 38841",male,29,8,415,Accountant,goPuff,61703,0
Gary Moore,garymoore386@slingacademy.com,8894334342,"6450 John Lodge
Territon, KY 95945",male,31,9,453,Accountant,UberEats,63788,0
John Walker,johnwalker944@slingacademy.com,9546779749,"27265 Murray Island
Kevinfort, PA 63231",male,18,9,462,Accountant,Grubhub,63306,0
Eric Carter,ericcarter176@slingacademy.com,8646218619,"USNS Knight
FPO AA 76532",male,38,11,544,Accountant,Grubhub,66894,0
William Jackson,williamjackson427@slingacademy.com,6894694791,"170 Jackson Loaf
Kristenland, AS 48876",male,58,11,545,Accountant,Grubhub,67950,0
Nicole Jones,nicolejones228@slingacademy.com,8602272975,"14354 Baker Harbor Apt. 017
Ericville, HI 11192",female,33,11,599,Accountant,goPuff,62696,0
David Davis,daviddavis980@slingacademy.com,8857137771,"021 Katherine Mall
Jameston, DC 24685",male,59,12,605,Accountant,goPuff,66413,0
Jason Montgomery,jasonmontgomery889@slingacademy.com,7114359069,"14657 Scott Loop Apt. 735
Port Ashley, NH 34470",male,28,13,668,Accountant,goPuff,57393,3
Kent Weaver,kentweaver695@slingacademy.com,6435074872,"6644 Mitchell Burg
Victorhaven, KS 66356",male,38,17,816,Architect,goPuff,100929,0
Darrell Dillon,darrelldillon573@slingacademy.com,9930528232,"PSC 7267, Box 9911
APO AE 49343",male,50,17,864,Architect,Grubhub,132448,2
Jacqueline Wang,jacquelinewang322@slingacademy.com,9919198566,"16963 Stewart Curve Suite 279
South Cameron, ND 25136",female,48,18,911,Architect,UberEats,87048,0
Jodi Gonzalez,jodigonzalez185@slingacademy.com,6570215835,"378 Johnson Oval
South Stacie, RI 76332",female,25,18,922,Architect,UberEats,133375,2
Omar Martin,omarmartin769@slingacademy.com,7858129165,"Unit 9103 Box 4771
DPO AA 16592",male,41,18,932,Architect,ChowNow,118232,2
Nicole Lara,nicolelara473@slingacademy.com,6747223894,"9822 Lisa Courts
Johnhaven, IL 80438",female,30,19,941,Architect,UberEats,120382,2
Jason Brown,jasonbrown753@slingacademy.com,6146577478,"7310 Romero Summit
East Scotttown, DC 53183",male,27,12,631,Artist,ChowNow,120692,2
David Benson,davidbenson257@slingacademy.com,6737497156,"444 Derek Summit
Lisaborough, WA 20685",male,39,12,661,Artist,Grubhub,110587,2
Kimberly Mora,kimberlymora513@slingacademy.com,7223237180,"7679 Perry Square
West Amybury, RI 15144",female,43,15,781,Artist,goPuff,117093,2
Erik Macias,erikmacias904@slingacademy.com,8665560086,"568 Christopher Tunnel
Toddburgh, DE 86966",male,28,16,801,Artist,ChowNow,81144,0
James Johnson,jamesjohnson681@slingacademy.com,8442406123,"19870 Sean Parkway
North Jamesfurt, NC 28950",male,32,17,834,Artist,goPuff,134160,2
Derek Peterson,derekpeterson324@slingacademy.com,9807876223,"70830 Jonathan Pine
Wilcoxburgh, MI 38265",male,39,17,852,Artist,goPuff,83349,0
Diane Henson,dianehenson438@slingacademy.com,7889449035,"86382 Baker Ports Apt. 074
Cookfurt, NM 54313",female,32,17,872,Artist,Grubhub,87374,0
Cody Lyons,codylyons721@slingacademy.com,6641625507,"60971 Carrillo Square Suite 141
New Kimberlybury, AS 02128",male,31,18,882,Artist,Grubhub,105388,2
Margaret Hardy,margarethardy249@slingacademy.com,7410698752,"2900 Sandra Villages Apt. 985
Phillipsstad, NH 19830",female,29,18,893,Artist,goPuff,133284,2
Arthur Hayes,arthurhayes881@slingacademy.com,9873404898,"353 Elizabeth Forest
Deannachester, NM 66952",male,30,18,936,Artist,goPuff,86377,0
Raymond Taylor,raymondtaylor702@slingacademy.com,6347461844,"07867 John Mills Apt. 985
Tinaville, ID 59142",male,32,4,179,Athlete,Grubhub,42433,3
Tina Moore,tinamoore476@slingacademy.com,8806093396,"50984 Shelly Pass
Port Nicholas, SC 48629",female,42,4,180,Athlete,goPuff,40140,3
Kylie White,kyliewhite170@slingacademy.com,6964043435,"5004 Christine Falls Suite 217
Jasonburgh, NJ 75688",female,44,4,219,Athlete,goPuff,45604,3
Jonathan Manning,jonathanmanning648@slingacademy.com,9158401412,"1501 Gregory Glens Suite 940
Stephensstad, GU 55206",male,30,4,241,Athlete,goPuff,50229,3
Angela Bryant,angelabryant256@slingacademy.com,9407656280,"01454 Christopher Turnpike
North Ryanstad, MI 36226",female,29,5,249,Athlete,Grubhub,45621,3
Michael Mann,michaelmann973@slingacademy.com,7751469800,"93144 Martinez Turnpike
East Maryhaven, MD 06798",male,23,5,283,Athlete,goPuff,46451,3
Craig Myers,craigmyers395@slingacademy.com,7175061500,"248 Koch Harbor
Jonathanhaven, AL 29645",male,27,5,297,Athlete,ChowNow,42504,3
Tiffany Carter,tiffanycarter997@slingacademy.com,9542529021,"PSC 9395, Box 0886
APO AE 29897",female,47,5,302,Athlete,Grubhub,41212,3
Erica Owens,ericaowens827@slingacademy.com,6273818818,"PSC 3509, Box 5359
APO AP 47664",female,33,6,302,Athlete,ChowNow,40183,3
Patricia Parker,patriciaparker125@slingacademy.com,9166563175,"69076 James Lights
Jeremyton, ID 40460",female,42,6,317,Athlete,UberEats,50453,3
Brian Palmer,brianpalmer348@slingacademy.com,9015005130,"USNV Smith
FPO AP 16161",male,47,6,319,Athlete,UberEats,47968,3
Melissa Smith,melissasmith381@slingacademy.com,6664210359,"24619 David Drive
New Davidmouth, TX 88651",female,24,6,312,Baker,ChowNow,56277,3
Connor Adams,connoradams384@slingacademy.com,8202200415,"997 Jessica Locks
Josephshire, NC 76033",male,24,6,325,Baker,UberEats,60563,0
Michael Williams,michaelwilliams977@slingacademy.com,7760607490,"72249 Maria Summit Suite 055
East Danielton, MP 13831",male,29,7,376,Baker,Grubhub,64748,0
Ruth Smith,ruthsmith682@slingacademy.com,7937368737,"USNV Woods
FPO AA 79528",female,38,7,413,Baker,Grubhub,63809,0
Jonathan Middleton,jonathanmiddleton724@slingacademy.com,8159802563,"6657 Sabrina Point Suite 915
New Robert, MD 65031",male,33,8,421,Baker,ChowNow,54985,3
Francis Velez,francisvelez579@slingacademy.com,7301211867,"060 Christopher Extensions
Youngmouth, AR 10160",male,44,8,421,Baker,Grubhub,57891,3
Matthew Velez,matthewvelez409@slingacademy.com,8762574476,"206 Larry Divide Apt. 484
North Justin, NH 22202",male,38,8,439,Baker,ChowNow,62496,0
Kim Shaw,kimshaw310@slingacademy.com,7256120343,"Unit 9987 Box 4002
DPO AA 15069",female,33,8,439,Baker,goPuff,54641,3
Gary Jones,garyjones407@slingacademy.com,9041126275,"5624 John Corner
Victorstad, IA 25172",male,39,9,440,Baker,goPuff,64131,0
Nicholas Clayton,nicholasclayton408@slingacademy.com,7235979787,"52017 Miller Summit
Benjaminshire, AZ 90897",male,37,9,454,Baker,Grubhub,56159,3
Anthony Chavez,anthonychavez937@slingacademy.com,7352879092,"USCGC Cervantes
FPO AP 51042",male,44,9,504,Baker,UberEats,63860,0
Carolyn Green,carolyngreen312@slingacademy.com,9731359349,"16623 Jordan Estate Suite 664
East Stephanie, CT 22452",female,47,10,517,Baker,Grubhub,60884,0
Janice Roman,janiceroman109@slingacademy.com,9681438419,"5953 Gill Centers
Masontown, MI 39024",female,45,13,674,Barber,goPuff,80109,0
Erin Taylor,erintaylor360@slingacademy.com,7927732112,"48599 Russell Wall
Greeneburgh, MS 66862",female,45,13,682,Barber,ChowNow,104661,2
Charles Garcia,charlesgarcia241@slingacademy.com,9963204209,"13369 Porter Plains Apt. 971
North Markfurt, AZ 67818",male,38,13,701,Barber,goPuff,83720,0
John Huber,johnhuber951@slingacademy.com,6964051678,"Unit 3189 Box 8193
DPO AA 08720",male,28,14,716,Barber,Grubhub,86840,0
Haley Martinez,haleymartinez861@slingacademy.com,8745348175,"5431 Christopher Dale
Joshuahaven, CT 52230",female,36,14,740,Barber,goPuff,94995,0
Adam Holmes,adamholmes791@slingacademy.com,9781014340,"3854 Harris Lakes
Port Kaylashire, FM 70720",male,28,15,763,Barber,ChowNow,99145,0
Patricia Jones,patriciajones445@slingacademy.com,7028958711,"098 Shelly Dale Apt. 244
Delgadoshire, SD 26738",female,33,15,763,Barber,Grubhub,89349,0
Christy Rodriguez,christyrodriguez571@slingacademy.com,7336440031,"859 Colin Oval
New Michael, MT 06634",female,40,16,799,Barber,goPuff,92058,0
Jose Poole,josepoole425@slingacademy.com,9408880916,"8382 Leslie Burgs
West Robert, NJ 30160",male,31,16,802,Barber,UberEats,93158,0
Lacey Mercado,laceymercado410@slingacademy.com,6490319844,"04225 Lee Manor
Castroville, HI 72528",female,33,17,804,Barber,ChowNow,87610,0
Danielle Garcia,daniellegarcia717@slingacademy.com,6781302151,"0791 Tiffany Well
West Matthew, RI 08141",female,41,2,127,Butcher,UberEats,35609,3
Amanda Cohen,amandacohen517@slingacademy.com,8678504287,"37967 Kathryn Coves
South Stevenberg, AS 79859",female,43,3,153,Butcher,Grubhub,52700,3
Jeremy Rodriguez,jeremyrodriguez468@slingacademy.com,7523525763,"287 Guerrero Roads Suite 079
Ochoatown, CT 50932",male,27,3,154,Butcher,UberEats,47743,3
Jade Wall,jadewall660@slingacademy.com,7017275618,"762 Anita Lake Suite 890
Josefurt, OH 77880",female,26,3,162,Butcher,goPuff,43115,3
Janice Garcia,janicegarcia196@slingacademy.com,8764167113,"7536 Yang Court
New Jennifermouth, LA 34189",female,47,3,168,Butcher,Grubhub,36558,3
Sarah Greer,sarahgreer408@slingacademy.com,9796692675,"998 Burns Divide
Carterhaven, VI 92800",female,42,3,172,Butcher,goPuff,38773,3
Sandra Golden,sandragolden932@slingacademy.com,6361973646,"239 Mitchell Plaza
Allenborough, MS 09082",female,47,4,174,Butcher,UberEats,51554,3
David Fritz,davidfritz381@slingacademy.com,6964259480,"8627 Brian Spur Apt. 855
Gonzalezfort, KS 26516",male,38,4,178,Butcher,ChowNow,43135,3
Hannah Wu,hannahwu194@slingacademy.com,9074893498,"63827 Justin Estate
Lake Susanbury, TN 74666",female,31,4,189,Butcher,UberEats,44576,3
Guy Bennett,guybennett480@slingacademy.com,8646052579,"21120 Anderson Isle
North Michaelside, CA 64898",male,48,4,227,Butcher,Grubhub,49965,3
Regina Wong,reginawong744@slingacademy.com,9180955918,"97722 Carter Lodge
West Mirandaburgh, WV 83151",female,28,4,246,Butcher,Grubhub,51099,3
Desiree Webster,desireewebster750@slingacademy.com,7746860532,"648 Garcia Light Apt. 666
Prestonberg, AK 20231",female,39,6,320,Butcher,goPuff,48147,3
Juan Cruz,juancruz282@slingacademy.com,8619135567,"429 Bonnie Via Suite 513
Wattsburgh, OK 75680",male,26,6,325,Butcher,ChowNow,35489,3
Michelle Edwards,michelleedwards750@slingacademy.com,9275944415,"USNS Kelley
FPO AA 54670",female,30,1,77,Carpenter,UberEats,23818,3
Alexander Griffin,alexandergriffin680@slingacademy.com,6682500036,"45253 Glass Divide Apt. 272
Lake Timothy, AZ 87119",male,46,1,81,Carpenter,ChowNow,29727,3
Laura House,laurahouse693@slingacademy.com,7393624442,"87635 Smith Falls Apt. 959
Brownton, IN 24891",female,24,2,125,Carpenter,UberEats,28924,3
Brittany Hanna,brittanyhanna710@slingacademy.com,9345715630,"62994 Lindsey Estate
Lake Christine, VA 10667",female,42,2,125,Carpenter,UberEats,26172,3
Allen Wright,allenwright784@slingacademy.com,8631172052,"USNV Gonzalez
FPO AE 23095",male,45,2,127,Cashier,ChowNow,33340,3
Ricky Phillips,rickyphillips472@slingacademy.com,7852555679,"2598 Watson Points
Johnsonstad, RI 13310",male,33,2,128,Cashier,goPuff,39408,3
Adrian Cross,adriancross924@slingacademy.com,7925561997,"545 Manning Tunnel
Mcintoshland, KS 74967",male,37,2,145,Cashier,ChowNow,30000,3
Thomas Wood,thomaswood493@slingacademy.com,9197427201,"0943 Ayala Garden
East Ann, UT 95055",male,24,3,150,Cashier,goPuff,38936,3
Jillian Massey,jillianmassey506@slingacademy.com,7641935438,"PSC 9428, Box 6762
APO AA 54022",female,39,4,181,Cashier,ChowNow,34601,3
